motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA1229.2,1.14996620021371,0.19105737235229417,202,164,0.7045240605490848,ERF034
MA1230.2,1.2178045654005463,0.08214454746174871,180,138,0.5486635811596046,ERF037
MA1231.3,0.8208278725708976,0.07665919073242095,153,174,0.5427470703855403,ERF15
MA1232.2,0.9192418022707252,0.4170911241922741,193,196,0.8983619007419013,ERF054
MA1233.3,1.0025300577560416,1.0,189,176,1.0,ERF021
MA1234.2,0.895310650578675,0.325155152462997,164,171,0.857663300107687,ERF017
MA1235.1,1.178634537876237,0.14562116031960531,178,141,0.6725101988042739,AIL7
MA1238.3,1.0873130790254184,0.4571612692508584,191,164,0.9053561594897231,ERF038
MA1239.2,0.7653511727610586,0.0001710622690511577,360,439,0.015108618531564913,ERF104
MA1240.2,0.7683259000912963,0.0013926858746236507,270,328,0.04341718665421965,ERF077
MA1241.2,1.1670518602764526,0.15436929636413155,200,160,0.6762491810941367,ERF043
MA1242.1,0.8839507470380006,0.09015122548122455,375,396,0.5734017316677517,DREB2F
MA1243.2,1.0313452560716205,0.7647957997242437,211,191,0.9854508966992043,DREB2E
MA1244.2,0.8289829637257065,0.035551864058946836,246,277,0.3359614051553014,ABR1
MA1245.3,0.8566512745302579,0.0953236196295871,223,243,0.5756642005897787,ERF112
MA1246.2,0.7709245274775008,0.0012772800132387623,280,339,0.04341718665421965,LEP
MA1247.2,0.7686718532392803,0.0019680040865279495,252,306,0.049072820244835044,ERF087
MA1248.2,0.9631200277152848,0.7056554941210236,228,221,0.9570959575434572,ERF012
MA1250.2,0.8628865555442455,0.03203309066984138,416,450,0.31631623853755525,DREB2D
MA1251.2,0.9873310461418718,0.9196106433580798,202,191,1.0,RAP2-9
MA1252.2,0.8040324598810691,0.010105915327641175,261,303,0.1583903443567691,ERF086
MA1253.2,1.1251350459632818,0.2809654176247734,188,156,0.8119327170544471,ERF036
MA1256.2,0.7995719908439869,0.015305727410890379,221,258,0.198112806442541,RAP2-12
MA1257.2,0.7642711860195953,1.3549806872530458e-05,475,580,0.004796631632875782,ERF9
MA1258.2,1.1024685646602645,0.34766859764252284,222,188,0.857663300107687,DREB2A
MA1259.2,1.0508844095520975,0.6266929768562505,224,199,0.9548974835667107,ERF023
MA1260.2,0.9512425159017422,0.6278241918992404,215,211,0.9548974835667107,ERF013
MA1261.2,0.8385430568693819,0.06514359678466221,212,236,0.49673161410372124,ERF122
MA1262.2,0.7402765934195026,4.875618164473463e-05,326,411,0.00862984415111803,ERF2
MA1263.2,1.0446152305951446,0.6860612155965782,207,185,0.9548974835667107,ERF055
MA1264.2,0.7493675633806565,9.489810344113557e-05,330,411,0.011197976206053997,ERF095
MA1265.3,0.9494613730384301,0.6329496376707358,179,176,0.9548974835667107,ERF015
MA1266.2,0.6991970234564793,6.817182314908654e-05,215,287,0.009653130157910654,RAP2-11
MA1267.2,1.0067528511574115,0.7245256334217579,5813,5391,0.9660341778956772,DOF5.8
MA1268.2,1.026067052547232,0.198750421301504,5355,4874,0.7129053812278009,CDF5
MA1269.2,0.9470503076500081,0.1775580514052201,1249,1231,0.701521379667639,DOF4.5
MA1270.2,1.0053968199788075,0.8483051327449112,2801,2601,1.0,DOF3.2
MA1273.2,1.0286540586132165,0.3835868169670058,2026,1839,0.8788979495554696,DOF4.2
MA1274.1,1.0314709623050133,0.01888333416479862,12477,11304,0.2156354933657649,DOF3.6
MA1275.2,0.9451815057843421,0.24212878566294105,886,875,0.775688598413404,DOF1.6
MA1276.2,0.9981619843533723,0.9681004182690911,1298,1214,1.0,DOF3.5
MA1277.2,1.0147654319738457,0.5934694572754371,2803,2579,0.9473018396979508,DOF1.7
MA1278.2,1.0120998046504615,0.6086586230224482,3885,3584,0.9548732385695337,DOF3.4
MA1279.2,1.0165514831554319,0.5349873694562406,3018,2772,0.9291186563955205,DOF1.5
MA1280.2,0.9981619843533723,0.9681004182690911,1298,1214,1.0,DOF5.4
MA1281.2,1.0129986934940458,0.48335374774996687,6393,5893,0.9053561594897231,DOF5.1
MA1282.2,0.9664311840632486,0.8138871824561807,147,142,0.9979676925639887,TCP13
MA1283.2,1.0799601034737714,0.45264828381496836,214,185,0.9053561594897231,TCP14
MA1284.2,1.1982905971320637,0.12699110430681748,163,127,0.6468323874045092,TCP1
MA1285.2,1.064892389353521,0.5536255115668185,219,192,0.9330331158728792,TCP9
MA1286.2,0.9452183127062168,0.6162168428591493,162,160,0.9548974835667107,TCP24
MA1287.2,1.0121466622868664,0.9223201869833114,219,202,1.0,TCP21
MA1288.2,1.111711971414597,0.3286787716606961,206,173,0.857663300107687,TCP22
MA1289.2,1.0520305002273027,0.6785992900933541,151,134,0.9548974835667107,TCP3
MA1290.1,0.9715527282746144,0.7896777692060539,179,172,0.9979676925639887,TCP17
MA1291.1,1.1017811176734837,0.39273915979141166,190,161,0.8855392520137562,TCP7
MA1292.2,1.0053923008844048,0.9494893745571165,518,481,1.0,MYB27
MA1293.2,1.0457702007396117,0.595408642183034,317,283,0.9473018396979508,MYB57
MA1294.2,1.047239316317965,0.581119432212015,341,304,0.9367004837264522,MYB62
MA1295.2,1.0334183248715176,0.698981882979082,352,318,0.9548974835667107,WRKY20
MA1296.2,1.0899844237065117,0.1877108766717693,523,448,0.701521379667639,WRKY46
MA1297.2,1.079732998553157,0.18846678180409449,658,569,0.701521379667639,WRKY26
MA1298.2,1.1453121569905924,0.014393556472960112,731,596,0.19597380736261075,WRKY29
MA1299.2,1.1279845612573576,0.029846173601023665,726,601,0.30624769434093846,WRKY17
MA1300.2,1.0367355070319744,0.6293521593225128,382,344,0.9548974835667107,WRKY6
MA1301.2,1.107902816348465,0.07163781768421262,687,579,0.5228822156744592,WRKY33
MA1302.2,1.1043095416192648,0.1047112172882357,602,509,0.5837444239375659,WRKY65
MA1303.2,1.1128558325320044,0.06385604257852531,671,563,0.49673161410372124,WRKY22
MA1304.2,1.11156861722276,0.04152339825687654,819,688,0.37213374640339986,WRKY59
MA1305.2,1.0789402392785548,0.28566298937928636,453,392,0.8221520182135558,WRKY55
MA1306.2,1.0885645653770815,0.12934055680060413,710,609,0.6494547107434591,WRKY11
MA1307.3,1.064338784522312,0.40036323152330044,399,350,0.8866887706272313,WRKY31
MA1308.2,1.098710780216032,0.1609292866863287,486,413,0.6822630836761719,WRKY70
MA1309.1,1.1198985298054387,0.039821483323722526,728,607,0.36145654093840446,WRKY3
MA1310.2,1.0367355070319744,0.6293521593225128,382,344,0.9548974835667107,WRKY42
MA1311.3,1.206242686545681,0.10163562863520105,177,137,0.5756642005897787,WRKY28
MA1312.2,0.9836949738132769,0.8321574554253098,412,391,1.0,WRKY47
MA1313.2,1.0776634489402368,0.14371738341615448,846,733,0.6725101988042739,WRKY7
MA1314.2,1.1043095416192648,0.1047112172882357,602,509,0.5837444239375659,WRKY14
MA1315.2,1.089862250889808,0.13435687950514963,677,580,0.6605879909003189,WRKY24
MA1316.2,1.1228126553727367,0.028853741475028748,790,657,0.30041836712235814,WRKY71
MA1317.2,1.1572328577810633,0.006921177751584184,777,627,0.12438357230633049,WRKY50
MA1318.2,1.0985991444054921,0.08116302010520485,753,640,0.5472706498522384,WRKY27
MA1320.2,1.0490791692181223,0.7804105675519668,109,97,0.9919760894556418,SPL15
MA1321.2,1.005386591397623,1.0,112,104,1.0,SPL13A
MA1322.3,1.189878593474251,0.4031533859003293,65,51,0.8866887706272313,SPL9
MA1323.2,0.9572662358129347,0.5750030780540123,363,354,0.9367004837264522,GATA19
